run_id,epoch,training_loss,validation_mean
r8c4w,1,0.3172549099,0.1239932170
r8c4w,2,0.2509345661,0.3371959035
r8c4w,3,0.2316808918,0.4261186917
t5n9b,1,0.3255752876,0.0768759696
t5n9b,2,0.2478009738,0.3559972703
t5n9b,3,0.2159144830,0.4875669463
u2f7k,1,0.3182911023,0.1146634302
u2f7k,2,0.2355076060,0.4901762647
u2f7k,3,0.2097260854,0.5227786262
w6d3s,1,0.3236707288,0.2552049262
w6d3s,2,0.2566869309,0.3329187514
w6d3s,3,0.2458208337,0.3643131023
w6d3s,4,0.2202619238,0.4470195554
w6d3s,5,0.2026055799,0.5287077759
y9h4m,1,0.3166433465,0.1575877548
y9h4m,2,0.2444661044,0.4576696132
y9h4m,3,0.2212991794,0.4949272536
y9h4m,4,0.2014763927,0.5549930699
y9h4m,5,0.1877366712,0.5662106093
