run_id,learning_rate,epochs,train_batches_per_epoch,best_val_mean,best_val_epoch,test_mean,A,B,C,D,E,F,audit
h4m8q,.03,1,200,0.1706005698,1,0.1407563583,0.1571588113,0.1376665223,0.3438806046,0.0417173964,0.0658543491,0.0982604662,PASS
k7v2n,.06,1,200,0.0911052334,1,0.1346407788,0.0860246570,0.4223296620,0.1983831980,0.0211516207,0.0100044592,0.0699510760,PASS
p3x6d,.10,1,200,0.0179221165,1,0.0140671259,0.0030294655,0.0069226916,0.0582782312,0.0039437832,0.0109344868,0.0012940972,PASS
r8c4w,.02,3,full,0.4261186917,3,0.3730193705,0.3026871670,0.4553541668,0.4967923163,0.2337345219,0.4745593245,0.2749887262,PASS
t5n9b,.03,3,full,0.4875669463,3,0.4858409933,0.4122781840,0.5003095995,0.5701722676,0.5618493597,0.5144406384,0.3559959108,PASS
u2f7k,.04,3,full,0.5227786262,3,0.5413853281,0.4458379348,0.5911138414,0.6139167944,0.6129202995,0.5480495528,0.4364735460,PASS
w6d3s,.03,5,full,0.5287077759,5,0.4998007120,0.4635146919,0.5375427556,0.5723226652,0.5385948481,0.5812139793,0.3056153319,PASS
y9h4m,.04,5,full,0.5662106093,5,0.5628221756,0.6162573258,0.5365231277,0.6602361376,0.5964410334,0.6039439840,0.3635314452,PASS
