run_id,global_weight,buffer_size,minibatch_size,alpha,beta,best_T2_val,best_epoch,T1T2_test,T1_test,T2_test,audit
j3p7n,1.0,64,8,0.5,0.5,0.3276817371,20,0.5367197336,0.5672669799,0.5061724873,PASS
k5r9v,1.0,64,8,1.0,0.5,0.2856195865,20,0.5201240995,0.5826097895,0.4576384096,PASS
l7t4x,1.0,64,8,1.0,1.0,0.3052165445,20,0.4997914654,0.5273235466,0.4722593841,PASS
m2v6q,1.0,64,8,0.25,0.5,0.3109483223,20,0.5469684877,0.5973197742,0.4966172012,PASS
n4x8r,1.0,64,8,0.5,1.0,0.2625397824,20,0.4703926118,0.5278914432,0.4128937804,PASS
p6z3t,0.1,64,8,0.5,0.5,0.5429901722,20,0.5394647224,0.5173513079,0.5615781369,PASS
